rating,title,imdbid,id,year
0,"Passage de Venus",3155794,9602,1874
0,"La Rosace Magique",14495706,9804,1877
0,"Sallie Gardner at a Gallop",2221420,9603,1878
0,"Le singe musicien",12592084,9806,1878
0,"Athlete Swinging a Pick",7816420,9816,1881
0,"Buffalo Running",5459794,9831,1883
0,"L&#39;homme machine",8588366,9832,1885
0,"Man Walking Around the Corner",2075247,9614,1887
0,"Cockatoo Flying",8133192,9836,1887
0,"Child Carrying Flowers to Woman",7411790,9837,1887
0,"Jumping Over a Man&#39;s Back-Leapfrog",7541160,9838,1887
0,"Man Riding Jumping Horse",7754902,9841,1887
0,"Baboon Climbing a Pole",8361552,9902,1887
0,"Roundhay Garden Scene",392728,8040,1888
0,"Accordion Player",1758563,9615,1888
0,"Traffic Crossing Leeds Bridge",343112,9616,1888
0,"Pferd und Reiter Springen uber ein Hindernis",3274100,9675,1888
0,"Brighton Street Scene",2116853,9947,1888
0,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",466876,9619,1889
0,"Hyde Park Corner",2116898,9945,1889
0,"Monkeyshines, No. 1",361921,9617,1890
0,"Monkeyshines, No. 2",416046,9618,1890
0,"London&#39;s Trafalgar Square",1202028,9621,1890
0,"Monkeyshines, No. 3",416047,9678,1890
0,Mosquinha,5285442,9946,1890
0,"Traffic in King&#39;s Road, Chelsea",2116968,9944,1890
0,"Dickson Greeting",241373,9626,1891
0,"Men Boxing",241715,9628,1891
0,"Newark Athlete",241763,9629,1891
0,"Duncan and Another, Blacksmith Shop",241393,9792,1891
0,"Duncan Smoking",241392,9793,1891
0,"Duncan or Devonald with Muslin Cloud",241394,9794,1891
0,"Monkey and Another, Boxing",241735,9795,1891
0,"Je vous aime",3201916,9800,1891
0,"La vague",3508566,9802,1891
0,"Two Fencers",5447082,9943,1891
0,"Pauvre Pierrot",3,5433,1892
0,"Un bon bock",4,9631,1892
0,"Le clown et ses chiens",2,9632,1892
0,Fencing,241446,9951,1892
0,"Le prince de Galles",234520,9952,1892
0,Wrestling,242148,9948,1892
0,Boxing,241266,9986,1892
0,"Blacksmith Scene",5,9583,1893
0,"Annabelle Butterfly Dance",229217,9636,1894
0,"Edison Kinetoscope Records: Annie Oakley",8419312,9642,1894
0,"Autour d&#39;une cabine",15,9646,1894
0,"Barbershop, The",229235,9648,1894
0,"Bucking Broncho",309396,9649,1894
0,"Buffalo Dance",309402,9650,1894
0,Carmencita,1,9651,1894
0,"Edison Kinetoscopic Record of a Sneeze",8,9652,1894
0,"Dickson Experimental Sound Film",177707,9654,1894
0,"Chinese Opium Den",6,9655,1894
0,"Corbett and Courtney Before the Kinetograph",7,9656,1894
0,"Falling Cat",2049440,9662,1894
0,"Glenroy Bros., No. 2",312728,9663,1894
0,"Glenroy Brothers",256782,9664,1894
0,"Leonard-Cushing Fight",203646,9668,1894
0,"Luis Martinetti, Contortionist",277115,9671,1894
0,"Sandow No. 2",2161519,9673,1894
0,"Sandow No. 3",2161521,9674,1894
0,"Reve au coin du feu",413219,9681,1894
0,"Miss Jerry",9,9779,1894
0,"Tables Turned on the Gardener",14,5444,1895
0,"Execution of Mary, Queen of Scots, The",132134,6200,1895
1,"Akrobatisches Potpourri",11,9679,1895
0,"Annabelle Serpentine Dance",154152,9683,1895
0,"Italienischer Bauerntanz",17,9714,1895
1,"Baby&#39;s Dinner",29,9715,1895
0,"Billy Edwards and the Unknown",477266,9766,1895
0,"Blacksmith Scene",22,9767,1895
0,"Barque sortant du port",16,9787,1895
0,"House of the Devil, The",91,4982,1896
0,"Une nuit terrible",131,5406,1896
0,"La fee aux choux",223341,5445,1896
0,"Arrival of a Train, The",12,6199,1896
0,Sandow,1428455,9672,1896
0,"Alger: rue Bab-Azoun",1672718,9949,1896
0,"Lassage des boeufs pour le labour",1736599,9950,1896
0,"Lancement d&#39;un navire",222137,9901,1896
0,"Bataille de neige",41,9328,1897
0,"Four Heads Are Better Than One",135696,4978,1898
0,"Astronomer&#39;s Dream; or, The Man in the Moon, The",211,5410,1898
0,"Temptation of St. Anthony, The",224240,5411,1898
0,"A Turn of the Century Illusionist",246,4994,1899
3,Cinderella,230,5914,1899
0,"Sherlock Holmes Baffled",291476,1594,1900
0,"Enchanted Drawing, The",300,4271,1900
0,"Grandma&#39;s Reading Glass",304,4343,1900
0,"As Seen Through A Telescope (a.k.a The Professor and His Field Glass)",272,4344,1900
0,"Explosion of a Motor Car (a.k.a The Dlights of Automobiling)",257654,4345,1900
0,"Hamlet ( Le Duel d&#39;Hamlet)",306,4346,1900
0,"One-Man Band, The",135453,4993,1900
0,"Grandma Threading Her Needle",377995,5069,1900
0,"Searching Ruins on Broadway, Galveston, for Dead Bodies",230746,5072,1900
0,"Let Me Dream Again",313,5438,1900
0,"Doctor and the Monkey, The",227438,5446,1900
0,"L&#39;homme a la tete en caoutchouc",359,4995,1901
0,"Reve et realite",258104,5437,1901
0,Bluebeard,131934,5500,1901
0,"Le voyage dans la lune",417,1252,1902
0,"Gulliver&#39;s Travels",229024,5431,1902
0,"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",367177,5432,1902
0,"Mephistopheles&#39; School of Magic",413,5443,1902
0,"Great Train Robbery, The",439,1319,1903
0,"Infernal Boiling Pot, The",135180,5002,1903
0,"Music Lover, The",455,5063,1903
0,"Monster, The",223755,5064,1903
0,"Enchanted Well, The",189498,5683,1903
0,"Cook in Trouble, The",215664,5224,1904
0,"Living Playing Cards, The",135179,5404,1904
0,"Untamable Whiskers, The",135631,5601,1904
0,"Le voyage a travers l&#39;impossible",499,6135,1904
0,"Scheming Gambler&#39;s Paradise, The",135690,5003,1905
0,"Black Imp, The",215575,5602,1905
1,"Story of the Kelly Gang, The",574,1349,1906
0,"Mysterious Retort, The",216016,5024,1906
0,"Humorous Phases of Funny Faces",554,5435,1906
0,"Hilarious Posters, The",135122,5603,1906
0,"400 Tricks of the Devil, The",567,5684,1906
0,"A Funny Shave",449172,6206,1906
0,"Consequence of Feminism, The",1260944,7215,1906
0,"Eclipse: Courtship of the Sun and Moon, The",215737,5223,1907
0,"Good Glue Sticks",215817,5615,1907
0,"Unusual Cooking",1802750,6231,1908
2,"Princess Nicotine; or, The Smoke Fairy",1009,4409,1909
0,"Devilish Tenant, The",127948,5635,1909
1,"Le barometre de la fidelite",277596,6211,1909
3,"Tilly the Tomboy Visits the Poor",232821,1464,1910
0,"Mobilier fidele",486978,4983,1910
0,"A Trip to Mars",1515725,5685,1910
2,Cleopatra,2101,2003,1912
0,"Invaders, The",2281,2005,1912
0,"Max and the Donkey",277865,5357,1912
0,"Voyage of the Bourrichon Family, The",3512,5364,1913
0,Suspense,3424,5915,1913
2,"A Florida Enchantment",3973,4457,1914
2,"Birth of a Nation, The",4972,1258,1915
3,"Gretchen the Greenhorn",6745,2008,1916
3,"Lady Windermere&#39;s Fan",279914,2014,1916
0,"Vagabond, The",7507,5368,1916
0,"Intolerance: Love&#39;s Struggle Throughout the Ages",6864,5944,1916
3,"Snow White",7361,7004,1916
3,"A Tale of Two Cities",8652,1981,1917
3,"Rebecca of Sunnybrook Farm",8499,1993,1917
3,"Poor Little Rich Girl, The",8443,1994,1917
0,"A Romance of the Redwoods",8519,2015,1917
2,"Raffles, the Amateur Cracksman",8489,2019,1917
3,"Tarzan of the Apes",9682,1996,1918
3,"Stella Maris",9652,2007,1918
0,"Are Crooks Dishonest?",8844,5441,1918
3,"Ich mochte kein Mann sein",10281,7108,1918
3,"When the Clouds Roll by",10879,2018,1919
0,"Broken Blossoms or The Yellow Man and the Girl",9968,2588,1919
0,"Cabinet of Dr. Caligari, The",10323,1306,1920
3,Pollyanna,11588,1991,1920
3,"Within Our Gates",11870,5948,1920
3,"Orphans of the Storm",12532,1263,1921
0,"Kid, The",12349,3945,1921
3,"Blot, The",11979,4204,1921
2,"K&ouml;rkarlen (The Phantom Carriage)",12364,5898,1921
2,"Nosferatu, eine Symphonie des Grauens",13442,1307,1922
2,"Phantom, The",13496,1631,1922
2,"Nathan der Weise",13428,1778,1922
1,"Man from Beyond, The",13367,2001,1922
3,"H&auml;xan: Witchcraft Through the Ages",13257,3800,1922
0,"Paleface, The",12543,5361,1922
1,"Nanook of the North",13427,5901,1922
3,"Foolish Wives",13140,5958,1922
3,"Dr. Mabuse, der Spieler - Ein Bild der Zeit",13086,5967,1922
0,"Safety Last!",14429,1961,1923
0,"Why Worry?",14611,1967,1923
2,"Silent Command, The",14469,1998,1923
3,"La souriante Madame Beudet",13626,5888,1923
0,"Our Hospitality",14341,5949,1923
2,"A Woman of Paris",14624,8947,1923
2,"Die Nibelungen",15175,1337,1924
2,"Kriemhild&#39;s Revenge",15174,1338,1924
0,"Thief of Bagdad, The",15400,1264,1924
0,"Wild Oranges",15498,1960,1924
0,"Navigator, The",15163,2009,1924
0,"Sherlock Jr.",15324,2011,1924
0,"Girl Shy",14945,2016,1924
3,Manhandled,15116,2020,1924
0,"Great White Silence, The",1764657,2413,1924
0,Help!,13845,6209,1924
3,Greed,15881,8458,1924
2,"Phantom of the Opera, The",16220,1305,1925
0,"Battleship Potemkin",15648,1308,1925
0,"Gold Rush, The",15864,1309,1925
0,"Go West",15863,1978,1925
0,"Freshman, The",15841,2012,1925
0,"Seven Chances",16332,3077,1925
2,"Lost World, The",16039,5514,1925
2,"Big Parade, The",15624,5962,1925
0,Stachka,15361,5991,1925
1,"Temptress, The",17449,1334,1926
1,"Flesh and the Devil",16884,1260,1926
0,"General, The",17925,1310,1926
0,"For Heaven&#39;s Sake",16895,1966,1926
3,"So&#39;s Your Old Man",17410,3217,1926
1,"Die Abenteuer des Prinzen Achmed",15532,5974,1926
3,It,18033,1227,1927
1,Metropolis,17136,1267,1927
2,"Abel Gance&#39;s Napoleon",18192,1312,1927
0,"Unknown, The",18528,1311,1927
